neuron	chem_out	chem_in	electrical	total_degree
AVAR	283	678	468	1429
AVAL	266	660	464	1390
RIAR	452	424	14	890
PVCR	164	260	438	862
RIAL	400	434	16	850
PVCL	153	282	330	765
AVBL	64	338	270	672
AVBR	57	335	278	670
PVPL	66	48	486	600
SABD	480	46	48	574
SMDVL	362	169	40	571
PVPR	77	29	456	562
SMDVR	342	171	40	553
AVER	133	295	104	532
AIZL	249	216	64	529
AVEL	119	306	78	503
RMDVR	155	271	76	502
RIMR	173	249	78	500
AVDL	137	256	104	497
RIML	193	218	82	493
PVR	146	37	308	491
AVDR	155	226	106	487
AIBL	173	260	50	483
AIBR	129	286	66	481
DVA	157	117	189	463
SMDDL	187	220	52	459
AIZR	187	206	66	459
RMDVL	141	277	26	444
DVC	112	36	294	442
SMDDR	158	238	40	436
RIGR	89	109	232	430
RMDDL	89	309	28	426
RIGL	106	89	228	423
RIBL	82	218	108	408
RIBR	61	226	118	405
RMDDR	83	290	26	399
RIH	266	110	12	388
SMBDR	234	99	50	383
VD12	43	93	228	364
PVT	60	46	252	358
AVL	69	62	222	353
DD06	38	152	162	352
AQR	84	33	234	351
AIYR	202	130	18	350
AIYL	191	121	24	336
AIAL	101	195	40	336
AVHL	47	37	248	332
VA12	124	62	140	326
AIAR	87	188	50	325
RMDL	121	180	24	325
SABVL	241	52	30	323
AVHR	46	26	246	318
AVJL	33	95	190	318
AVKR	42	76	196	314
SMBDL	202	81	30	313
M4	216	69	26	311
SABVR	240	40	22	302
FLPL	241	25	32	298
RIS	184	40	74	298
SMBVR	135	95	66	296
SAAVL	166	62	68	296
RMDR	77	200	18	295
ADFR	202	47	44	293
DA08	80	64	146	290
PVQR	42	36	212	290
PHBR	152	22	110	284
DD01	57	184	42	283
FLPR	170	11	98	279
DA09	82	54	142	278
SIBVL	142	73	56	271
AVKL	40	73	157	270
VD02	61	121	84	266
OLLR	162	68	32	262
SMBVL	123	91	48	262
RIPR	9	232	16	257
PHBL	174	17	66	257
DA03	120	62	74	256
PVQL	41	48	166	255
SIBVR	147	56	52	255
NSML	154	89	10	253
ASHR	142	40	70	252
vBWMR4	0	189	60	249
dBWMR3	0	158	90	248
VD13	44	72	130	246
OLLL	169	41	32	242
AVJR	56	80	104	240
dBWML3	0	148	90	238
SAAVR	123	45	70	238
AVFL	57	48	132	237
ASHL	141	22	72	235
URXR	131	75	26	232
vBWMR3	0	139	90	229
IL1VR	117	63	48	228
AS11	40	35	152	227
ADLR	155	55	16	226
VD03	45	142	38	225
PVNR	83	43	98	224
IL1DR	127	64	32	223
RIPL	7	187	28	222
CEPDL	177	41	4	222
SIADR	136	58	24	218
RICR	99	105	14	218
PQR	100	19	98	217
AVFR	56	37	124	217
DVB	85	2	128	215
LUAR	94	29	92	215
RMGL	101	57	56	214
SIADL	142	53	16	211
vBWML3	0	120	90	210
NSMR	99	88	22	209
AVG	62	45	102	209
RIVR	87	35	86	208
RICL	94	88	26	208
DD03	43	151	14	208
ADFL	136	39	30	205
ASER	115	78	12	205
IL1L	144	33	28	205
IL1VL	99	60	46	205
AS01	66	73	66	205
PVNL	95	26	82	203
OLQVR	90	71	40	201
CEPVL	141	44	16	201
VD06	33	114	52	199
VA11	69	39	90	198
ASKR	55	26	116	197
DB01	129	8	60	197
RMED	86	74	36	196
IL1R	128	35	32	195
VA02	87	46	62	195
RIVL	71	42	82	195
